@,di
nantiii,nanti
kenaliiin,kenalkan
nanya,bertanya
napa,kenapa
suko,suka
nari,menari
niih,nih
nasehatin,menasihati
sihhhh,sih
"sebaik""",sebaik-baik
nd,indak
nda,tidak
ndak,tidak
ndut,gendut
ne,ini
negri,negeri
neh,nih
segtu,sebegitu
ngebenci,membenci
bakar2in,bakar-bakari
nembak,menembak
nemuin,menemui
"nenek""",nenek-nenek
padhe,pakde
nenek2,nenek-nenek
nengok,menengok
dosa2mu,dosa-dosamu
nerima,menerima
maafin,memaafi
nerusin,meneruskan
ngaca,berkaca
ujung2,ujung-ujung
dalem2,dalam-dalam
bahas2,bahas-bahas
woles,selow
ngadain,mengadakan
hianatin,khianati
ngademin,meneduhkan
ngadu,mengadu
halangin,halangi
ngajak,mengajak
iyuuuhhhh,ih
ngajar,mengajar
ngajarin,mengajari
ngak,tidak
adapin,menghadapi
ngehakimi,menghakimi
ngakak,tertawa
ngejuangin,memperjuangkan
dipojokin,dipojokkan
bacotin,bacoti
berati,berarti
kebangetak,kebangetan
sadis2,sadis-sadis
maksir,menaksir
hebatt,hebat
pndang,pandang
ngaku,mengaku
pmbelajaran,pembelajaran
"ngaku""",mengaku-ngaku
ngejelek,menjelekkan
maslah,masalah
ngalah,mengalah
mmperbaiki,memperbaiki
ngalahin,mengalahkan
ngalir,mengalir
ngambek,marah
nganggepin,menanggapi
nganterin,mengantarkan
ngantri,mengantri
ngapain,sedangapa
kafeh,kafe
remang2,remang-remang
dirmh,dirumah
ngarang,mengarang
ngarep,berharap
ngareppppp,mengharap
ngasi,memberi
ngasih,memberi
ngasih2,memberi
ngata2in,mengata-ngatai
iyuuhhh,ih
ngatain,mengatakan
dipuja2,dipuja-puja
ngrasain,merasai
ngatur,mengatur
ityl,itil
ngayal,mengkhayal
ngebales,membalas
ngebela,membela
wenak,enak
ngebolehin,membolehkan
ngebuktiin,membuktikan
ngecek,mengecek
ngeditnya,mengeditnya
ngedukung,mendukung
kelas'a,kelasnya
hadeeehhh,aduh
ngefans,fan
ngegemesin,menggemaskan
ngeh,sadar
ngehina,menghina
"gtu""an",begitu-gituan
ngehujat,menghujat
gmanapun,bagaimanapun
ngekek,tertawa
ngelahirin,melahirkan
kr,kira
taux,taunya
ngelakuin,melakukan
urat2nya,urat-uratnya
ngelawak,melucu
ngorbanin,mengorbankan
eksprsi,ekspresi
gitulah,begitulah
ngelawan,melawan
ngeliat,melihat
"foto""",foto-foto
mamas,mas
ngeliatin,memperlihatkan
ngeliatnya,melihatnya
bandingin,bandingkan
tua2,tua-tua
ngelihat,melihat
ngeluarin,mengeluarkan
ngelucu,melucu
ngemeng,ngomong
ngerasa,merasa
waduhh,waduh
"bawa""",bawa-bawa
badingkan,membandingkan
ngerasain,merasakan
ngerayain,merayakan
ngerebut,merebut
ngeri2,ngeri-ngeri
ngerii,ngeri
ngerti,mengerti
ngeselin,mengesalkan
ngets,banget
ngg,tidak
ngga,tidak
ributin,meributkan
brantem,berantem
nggak,tidak
bneraan,benaran
kageeet,kaget
sangaaattt,sangat
rmbuut,rambut
nt,nanti
walik,balik
oma2,oma-oma
nggk,tidak
ngikutin,mengikuti
kellen,kalian
ngilang,menghilang
ngomenin,mengomentari
iseng2,iseng-iseng
ngilangin,menghilangkan
ngimpi,mimpi
niyyyyhhhh,nih
ngingetin,mengingatkan
nginjek,menginjak
sexi2,seksi-seksi
ngintip,mengintip
blik,balik
ngiri,iri
ladenin,meladeni
ngirim,mengirim
ngk,tidak
hat,hati
jilbabnye,jilbabnya
ledkin,meledeki
ngmg,ngomong
digabtikan,digantikan
ngmng,ngomong
ngumung,mengomong
ilang-in,hilangkan
ngmngin,ngomongin
ngmngnya,ngomongnya
ngoceh,mengoceh
ngocok,mengocok
prinadi,pribadi
ngom,mengomong
ngomentarin,mengomentari
yep,ya
ngomong,bicara
helooooo,halo
palingann,palingan
berjinah,berzina
munaafikk,munafik
urusn,urusan
trganggu,terganggu
bhijab,berhijab
ngomongin,ngomongin
ngomongnya,mengomongnya
ngp,ngapain
smentara,sementara
ngrebut,merebut
ngrti,mengerti
ngrusak,merusak
ngtain,mengatai
ngucapin,mengucapkan
ngumbar,mengumbar
ngurus,mengurus
ngurusin,mengurusi
waduhhh,waduh
ursan,urusan
sudab,sudah
dwsa,dewasa
rpt2,repot-repot
nh,nih
ngaji,mengaji
ni,ini
romantiz,romantis
pensaran,penasaran
baru2,baru-baru
lainnyaa,lainnya
perbulannn,perbulan
penyebab2,penyebab-penyebab
Nich,Nih
steess,stres
nie,ini
kwatir,kawatir
tengah2,tengah-tengah
nihh,nih
nihhh,nih
nii,ini
ninggalin,meninggalkan
njir,anjir
silsturahmi,silaturahmi
njirr,anjir
njirrr,anjir
nmbah,bertambah
nmnya,namanya
dijkt,dijakarta
nmpk,tampak
nmr,nomor
nnt,nanti
cums,cuma
nnti,nanti
undangan2,undangan-undangan
nntn,nonton
past,pasti
nnton,nonton
nobar,nontonbareng
nolongin,menolong
nonton,menonton
ayukk,yuk
filmny,filmnya
nontonx,menontonnya
nontonya,nontonnya
ntah,entah
ntap,mantap
ntar,nanti
kemariin,kemarin
knpp,kenapa
lggi,lagi
gaprgi,enggak pergi
nti,nanti
ntn,nonton
nton,nonton
ntr,nanti
dtunggu,ditunggu
masa2,masa-masa
nuduh,menuduh
kepikir,terpikir
nulis,menulis
nunggu,menunggu
nungguin,menunggu
seruuu,seru
nusuk,menusuk
nutupin,menutupi
ny,nya
emeshh,gemas
kaya,kayak
astagaaaaaa,astaga
pacarn,pacaran
ktg,kita
pacaranya,pacarannya
mbaak,mbak
nyaa,nya
nyaaa,nya
pacarane,pacarannya
rusakkk,rusak
yaaampunnn,ya ampun
nyaaaa,nya
nyadar,menyadari
nyalahin,salah
tuwek,tua
mukae,mukanya
ultahe,ultahnya
nyambung,menyambung
nyampah,membuatsampah
nyampe,sampai
nyampein,menyampaikan
nyangka,menyangka
pcaranya,pacarannya
bermaksut,bermaksud
tampialannya,tampilannya
nikaah,nikah
"anak""",anak-anak
pankapan,kapan-kapan
dhpusin,dihapuskan
nyanyiin,menyanyikan
istiqomah,istikamah
nyaranin,menyarankan
nyari,mencari
mnutup,menutup
nyatakan,menyatakan
nyebelin,menyebalkan
nyela,cela
nyelesain,menyelesaikan
nyempetin,menyempatkan
nyenengin,menyenangkan
nyerang,serang
nyerocos,mencerocos
nyesek,bikin sesak
nyesel,menyesal
bngatt,banget
nyesell,menyesal
dii,di
nyet,monyet
ooh,oh
nyimak,menyimak
nyindir,menyindir
hapusin,hapuskan
nyoba,mencoba
ngeuh,engah
nyobain,mencoba
nyok,ayo
nyolong,mencuri
nyubit,mencubit
nyupir,menyopir
mutusin,memutuskan
nyusahin,menyusahkan
ngapus,menghapus
nyusul,menyusul
awl,awal
ohh,oh
omdo,omong doang
omongin,mengomongkan
bngkit,bangkit
mncoba,mencoba
ono,ada
or,atau
orang2,orang-orang
org,orang
wahhh,wah
mutuain,memutuskan
geuliiiiiiis,geulis
euyyyyy,euy
uuh,uh
ngidam,mengidam
sampis,sampah habis
ngebala,bala
mampuussss,mampus
diihhhh,dih
hrusnya,harusnya
sabal,sabar
kauuuu,kau
sabaro,sabar
eehhh,eh
iiii,ih
kreative,kreatif
bangrt,banget
azekkkk,asik
kuaaatt,kuat
bhet,banget
inggrisny,inggrisnya
iyaap,iya
nga,enggak
canyk,cantik
prodac,produk
ciyusss,serius
sexi,seksi
bangget,banget
bettt,banget
cantiiillx,cantik
brapa,berapa
org2,orang-orang
alaami,alami
sabaarrr,sabar
cantiiiikk,cantik
bangeeeeetttt,banget
cannntikk,cantik
banggett,banget
orgtuanya,orang tuanya
thnan,tahunan
ori,original
orng,orang
segerr,segar
wouww,wow
cantiiikkk,cantik
ortu,orangtua
Pa,Apa
comment2nya,komentar-komentarnya
pa2,apa-apa
padahall,padahal
padet,padat
pahamin,pahami
besar2an,besar-besaran
pait,pahit
pake,pakai
knsul,konsultasi
brhasil,berhasil
hilangin,menghilangkan
kontak2,kontak-kontak
dptnya,dapatnya
applikasi,aplikasi
kereeeeen,keren
gemesinnnnn,menggemaskan
ongkiir,ongkir
ajaibbbbb,ajaib
saayyyyy,say
ganteung,ganteng
iiiiiiiiii,ih
lucuukk,lucu
keciil,kecil
yakinn,yakin
pentass,pentas
pakek,pakai
paksain,memaksa
pala,kepala
pantes,pantas
parahh,parah
pas2an,pas-pasan
pastii,pasti
pcar,pacar
testinya,testimoninya
pcaran,pacaran
pcarny,pacarnya
mengirusi,mengurusi
khdpn,kehidupan
pcran,pacaran
pcrn,pacaran
betuuuuulllllllllllllllll,betul
pcrnya,pacarnya
bisax,bisanya
pd,kepada 
klmbutan,kelembutan
pda,pada
seburuk2,seburuk-buruk
diingetin,diingatkan
pdahal,padahal
ngeriiiiii,ngeri
akhlah,akhlak
pdhal,padahal
pdhl,padahal
elo2,lo-lo
mandiin,memandikan
nguburin,menguburkan
ngebedain,membedakan
urusanny,urusannya
pede,percayadiri
tuhanny,tuhannya
brtngkar,bertengkar
pndapat,pendapat
pedes,pedas
pelastik,plastik
pen,pengen
sharusnya,seharusnya
pengen,ingin
mngkannya,mangkanya
nyia2in,menyia-nyiakan
mndpat,mendapat
kpuasan,kepuasan
sgampang,segampang
mlepaskan,melepaskan
sellow,selow
sbbrnya,sebenarnya
kasar2,kasar-kasar
percya,percaya
perhatiin,perhatikan
semangattt,semangat
pesen,pesan
pg,pagi
pgen,ingin
pgi,pagi
testi,testimoni
banyaak,banyak
bujukk,bujuk
pgn,ingin
d.apa,diapa
apain,apai
benetaran,benaran
bneran,benaran
pgnnya,inginnya
kraya,karya
pi,tapi
pingin,ingin
ngebantu,membantu
pinginnn,pengin
janjutin,lanjutkan
pinter,pintar
kepppoin,kepoi
recommendasi,rekomendasi
btulan,betulan
kha,kah
pjg,panjang
pk,pakai
tutupin,menutupi
pkai,pakai
wik,wig
pke,pakai
ithu,itu
botakkkk,botak
week,wig
pkek,pakai
gawul,gaul
modes,modis
pkoknya,pokoknya
pla,pula
plg,pulang
pling,paling
plsa,pulsa
bronis,brondong manis
gapunya,enggak punya
pmbyran,pembayaran
pndah,pindah
pngen,ingin
kecantikanga,kecantikannya
hiii,hai
piiiilih,pilih
deeh,deh
pngn,ingin
zama,zaman
tapo,tapi
gkk,enggak
petinggi2,petinggi-petinggi
wota2,wota-wota
pnjang,panjang
indefendet,independen
pnting,penting
pnuh,penuh
yuuuukkk,yuk
pny,punya
dituutup,ditutup
smvk,sempak
pnya,punya
njrittt,anjir
taz,atas
klhran,kelahiran
pertma,pertama
kelahuran,kelahiran
poko,pokok
pertamany,pertamanya
mamax,mamanya
ankx,anaknya
cantip,cantik
pokonya,pokoknya
Ppa,Apa
prasaan,perasaan
prcya,percaya
prhatian,perhatian
prlu,perlu
prnah,pernah
prnh,pernah
klahiran,kelahiran
prodak,produk
prodaknya,produknya
mmbanggakan,membanggakan
ortuny,orang tuanya
promil,program hamil
selmat,selamat
protestin,protestan
prwtn,perawatan
nyah,nya
pst,pasti
prtamax,pertamanya
moqa,moga
yq,yang
brbakti,berbakti
gewlaaaaa,gila
psti,pasti
basodaraa,bersaudara
pucing,pusing
pulak,pula
hargs,harga
abal2,abal-abal
bantuim,bantu
punyaaa,punya
pelwak,pelawak
pura2,pura-pura
py,bagaimana
q,saya
suces,sukses
sucses,sukses
garemin,garami
qm,kamu
ngiringan,mengiringi
Qmu,Kamu
qt,kita
karir.a,karirnya
aamin,amin
teruz,terus
qta,kita
qu,saya
rame2,ramai-ramai
promoo,promo
ongkirr,ongkir
rana,ranah
rasain,rasai
rata2,Rata-rata
rb,ribu
mskasih,terima kasih
wowwwww,wow
recomendasinya,rekomendasinya
rekomendasiin,merekomendasikan
seeeemua,semua
rempong,sulit
rmbt,rambut
rmbut,rambut
rmh,rumah
s,si
s*inetr*n,sinetron
salfok,salah fokus
"sama""",sama-sama
batesin,batasi
sama2,sama-sama
bijin,bikin
samaa,sama
samara,sakinah mawadah rahman
ngeidealin,mengidealkan
sampe,sampai
bhn,bahan
le,boleh
semuaaa,semua
heeee,hai
sampein,sampaikan
sampek,sampai
sampw,sampai
yam,ya
saranin,menyarankan
kartunin,kartun
saudra,saudara
say,saya
abez,habis
baaaaaang,bang
sayaang,sayang
sayanggg,sayang
sbagai,sebagai
ganteeeeng,ganteng
entahhh,entah
gimanaaaa,bagaimana
sbb,sebagai berikut
sbelah,sebelah
sbelum,sebelum
duuhh,duh
gantengnyaaaa,gantengnya
sbenernya,sebenarnya
sbg,sebagai
pans,fan
kuliyh,kuliah
sbgai,sebagai
gantengkuuuuuu,gantengku
atassss,atas
orgny,orangnya
sblah,sebelah
owalaah,walah
sblh,sebelah
sblm,sebelum
aslinyo,aslinya
sblmnya,sebelumnya
alissnyaa,alisnya
masaaaa,masa
sblum,sebelum
komuk,muka
sbnarnya,sebenarnya
kalahnye,kalahnya
sbnrny,sebenarnya
sbr,sabar
sbuah,sebuah
scr,secara
iyaaaa,iya
scra,secara
fakultass,fakultas
smrg,semarang
sdah,sudah
sdg,sedang
sdgkn,sedangkan
sdh,sudah
unyu2,unyu-unyu
yyaaa,ya
insonniaaa,insomnia
adekx,adeknya
sdkit,sedikit
sdkt,sedikit
sebenernya,sebenarnya
azaab,azab
segala2nya,segala-galanya
seger,segar
gksi,enggak sih
segitunya,sebegitunya
seh,sih
sehh,sih
sekarng,sekarang
seklian,sekalian
sekolahin,sekolahkan
sekrang,sekarang
selmt,selamat
semangaatt,semangat
semangatt,semangat
greged,greget
alamiii,alami
semngat,semangat
sempet,sempat
sendirii,sendiri
seneng,senang
ditayangin,ditayangkan
"ms""",masa-masa
nontonny,menontonnya
rekomendasiiin,merekomendasikan
senengg,senang
seorg,seorang
serasiii,serasi
sista2,sista-sista
agan2,agan-agan
serem,seram
sering2,sering
setabil,stabil
sgt,sangat
nanget,banget
shay,say
himana,bagaimana
shbt,sahabat
si,sih
kekgini,kayak begini
siapa2,siapa-siapa
siapaa,siapa
sich,sih
subhanaallahh,subhanallah
sangat2,sangat-sangat
sie,sih
terharuuuu,terharu
sihh,sih
subhanallahhh,subhanallah
tlsn,tulisan
nagiss,menangis
sihhh,sih
aneut,banget
trrharu,terharu
sii,sih
subhnallah,subhanallah
Silahkan,Silakan
allahh,allah
suamiii,suami
dcintai,dicintai
simpen,simpan
liat'y,lihatnya
sinet,sinetron
sipp,sip
sj,saja
lggeng,langgeng
romantisny,romatisnya
duhhh,duh
kakanga,kakaknya
sja,saja
sjk,sejak
sk,suka
slw,selow
ska,suka
skali,sekali
aelah,alah
skali2,sekali-kali
skaligus,sekaligus
skarang,sekarang
orabg,orang
skedar,sekedar
skg,sekarang
mukanyaa,mukanya
kakakny,kakaknya
skit,sakit
skitar,sekitar
sklh,sekolah
skli,sekali
woooyy,woy
skolah,sekolah
skr,sekarang
bukak,buka
mato,mata
skrang,sekarang
kareno,karena
cino,cina
munafikk,munafik
skrg,sekarang
indoneaia,indonesia
benarin,membenarkan
jaadii,jadi
apo,apa
nyo,nya
jalanani,menjalani
dalil2,dalil-dalil
sunah2,sunah-sunah
benda2,benda-benda
bilang2,bilang-bilang
skrng,sekarang
rumpiin,rumpi
hotak,botak
ikut2,ikut-ikut
skt,sakit
slah,salah
slalu,selalu
jawabanny,jawabannya
oooh,oh
hidupx,hidupnya
slama,selama
slamat,selamat
slh,salah
uztad,ustad
slhkan,silahkan
anjingnyaa,anjingnya
sling,saling
pegang2,pegang-pegang
sll,selalu
ilmh,ilmu
menasehati,menasihati
kelus,kali
hubngan,hubungan
sllu,selalu
slm,salam
slmat,selamat
slmt,selamat
koclak,kocak
sm,sama
bju,baju
cinggirnyaaaa,cinggirnya
yahhhh,ya
miripppp,mirip
sedikitlaahh,sedikitlah
miriplahhhhhh,miriplah
syediih,sedih
mirp,mirip
baju.a,bajunya
wiiiihhhhhhhhh,wih
gantheng,ganteng
synk,sayang
ngfans,fan
miriiippp,mirip
idungnya,hidungnya
wooow,wow
panglingg,pangling
artisnyaa,artisnya
dtggu,ditunggu
bgtttttttt,banget
rapih,rapi
buuun,bun
iyaappps,iya
sukse,sukses
nih2,nih-nih
baruu,baru
kecptan,kecepatan
rmbutnya,rambutnya
giti,begitu
penganten,pengantin
fans,fan
sm2,sama-sama
amfun,ampun
asuuu,asu
sma,sama
ceklist,ceklis
terusss,terus
tlvn,telepon
trkrim,terkirim
kelaluan,kelakuan
guanteng,ganteng
mlz,malas
emak2,emak-emak
tante2,tante-tante
kepoh,kepo
repong,repot
ngrusin,mengurusi
smakin,semakin
smangat,semangat
dnk,dong
smbil,sambil
smg,semoga
senyumna,senyumnya
ngejelek2in,menjelek-jelekkan
smga,semoga
hotx,hotnya
cwnya,ceweknya
mbaaahhh,mbah
smngat,semangat
smnjak,semenjak
pasangn,pasangan
smoga,semoga
sttus,status
aama,sama
hadeuuhhhh,aduh
lebar2,lebar-lebar
sstu,sesuatu
cocokx,cocoknya
emakx,emaknya
iniiiiiiiiiiiiiii,ini
cocookk,cocok
kll,kalo
smp,sampai
arghhh,ah
smpai,sampai
smpe,sampai
ungkapin,ungkapkan
merrid,merit
cocokkkkk,cocok
smpt,sempat
smua,semua
yaolohh,ya allah
aee,saja
naggung,menanggung
battt,banget
tah,teh
luthuna,lucunya
astagaaa,astaga
smw,semua
sna,sana
sndiri,sendiri
suaraynyaa,suaranya
duanyaa,duanya
anjayyyy,anjay
sndr,sendiri
sndri,sendiri
sneng,senang
sngaja,sengaja
sngt,sangat
coeggg,coeg
so,jadi
koplak,kocak
uaaasssiiiik,asik
boss,bos
sok2an,sok-sokan
sotoy,soktahu
sp,siapa
sperti,seperti
spertinya,sepertinya
sprt,seperti
sprti,seperti
tium,cium
gemeeezzzz,gemas
spt,seperti
papahhhnya,papahnya
duuuhh,duh
ginting,ganteng
bingiiittzz,banget
iiihh,ih
dedeknya,adeknya
hadeeuh,aduh
geneeee,begini
yooow,ya
gemezz,gemas
spti,seperti
spy,supaya
gayax,gayanya
srng,sering
infpyunnnn,ampun
stelah,setelah
paraaah,parah
papiii,papi
kamunyaa,kamunya
stiap,setiap
stlh,setelah
stress,stres
haduuuh,aduh
stuju,setuju
putihnyaa,putihnya
suarranya,suaranya
ituuuu,itu
omaaaaaaakk,oma
loncattt,loncat
subahanallah,subhanallah
subhanalloh,subhanallah
didatengin,didatangi
kmariiin,kemarin
subhannallah,subhanallah
ayoklaa,ayolah
sudh,sudah
suk,masuk
jelasssss,jelas
kaliiin,kalian
suka2,suka-suka
sukaa,suka
sukaaa,suka
ujunggg,ujung
sukaaaa,suka
sukak,suka
kaakaaaa,kakak
srruu,seru
suksess,sukses
jmpaaaa,jumpa
sumpahh,sumpah
sumpeh,sumpah
suru,suruh
sy,saya
syukaaakkk,suka
dengeeriin,dengarkan
yakaliiiii,yakali
atuhh,atuh
ngertii,mengerti
apalgi,apalagi
sya,saya
akuh,aku
mesrany,mesranya
syang,sayang
syantik,cantik
jendes,janda
ngggk,enggak
coccokk,cocok
syg,sayang
msa,masa
syng,sayang
jendesss,janda
syp,siapa
klepek2,klepek-klepek
sypa,siapa
ponakn,ponakan
tantee,tante
T4,Tempat
gadiss,gadis
tpy,tapi
jnda,janda
bngy,banget
taekk,tahi
bujngn,bujangan
tai,kotoran
taik,kotoran
padetan,padatan
tambahin,tambahkan
tangkep,tangkap
taon,tahun
tar,nanti
bawa2,bawa-bawa
taun,tahun
tauu,tau
tauuu,tau
taw,tahu
td,tadi
tdak,tidak
tdi,tadi
tdk,tidak
prcuma,percuma
langgengggg,langgeng
sekaliiiii,sekali
anehhh,aneh
hayal,khayal
bedua,berdua
tdr,tidur
tebel,tebal
tehh,teh
bapeerr,bawa perasaan
tehhh,teh
tehhhh,teh
merekak,mereka
telimakacih,terimakasih
"teman""ny",teman-temannya
teman2,teman
kreeenn,keren
abisss,habis
temen,teman
kocaaaakkk,kocak
abiiiss,habis
pass,pas
personill,personil
lengkapp,lengkap
iiihhhh,ih
flim.a,filmnya
trusan.a,terusannya
tdung,tudung
temen2,teman-teman
gangguin,mengganggu
temenan,berteman
temennya,temannya
tempat2,tempat tempat
terossss,terus
terus2an,terus-terus an
teruss,terus
tetehh,teteh
lgkah2,langkah-langkah
tetep,tetap
cntiiikkk,cantik
tegaar,tegar
sktlrang,sekarang
kangeeeennnnn,kangen
tambh,tambah
nangiis,menangis
nyaaaaaaaaa,nya
duuhhhhh,duh
tetp,tetap
tgk,tengok
tgl,tanggal
th,tahun
malsudnya,maksudnya
lluuccuu,lucu
siappa,siapa
martabakk,martabak
kueren2,keren-keren
abgnya,abangnya
thdp,terhadap
thn,tahun
hayuu,hayo
kenapaa,kenapa
ilang2an,hilang-hilangan
ayooook,ayo
astagaaaaaaaa,astaga
inihhh,ini
oom,om
thu,tuh
thun,tahun
mansetan,bermanset
tiba2,tiba-tiba
cadasss,cadas
kereeeeennn,keren
"temen""",teman-teman
tingal,tinggal
telefisi,televisi
tinggl,tinggal
tk,tamankanak-kanak
nikmatin,menikmati
tkut,takut
mbahh,mbah
tlg,tolong
tlp,telepon
giitu,begitu
mtanya,matanya
tman,teman
cpit,sipit
tmbah,tambah
dee,dek
tmbh,tambah
sumvahh,sumpah
tmen,teman
tamvann,tampan
tmn,teman
tmn2,teman-teman
tmpt,tempat
guaaaaaaa,gua
tnang,tenang
capa,sapa
ngakakkk,mengakak
tnggl,tinggal
liaat,lihat
gantweng,ganteng
anjjjjjjjj,anjing
tnggu,tunggu
tngh,tengah
gakwad,enggak kuat
tnp,tanpa
tnpa,tanpa
tntg,tentang
seru2,seru-seru
tnya,tanya
iniii,ini
favoriteeee,favorit
to,untuk
tohh,toh
tp,tetapi
dinyanyiin,dinyanyikan
seruu,seru
nyengir,menyengir
klk,kelak
brjdh,berjodoh
akhrt,akhirat
kangennnnn,kangen
kanggen,kangen
kangennnnnnn,kangen
ysh,ya
nangisss,menangis
brjodoh,berjodoh
barengg,bareng
kpnpun,kapanpun
mendj,menjadi
allahhhh,allah
merindinggg,merinding
amiennnn,amien
iihh,ih
debay,adek bayi
bangeer,banget
lafazd,lafaz
"dimana""",dimana-mana
sokk,sok
ngambekan,ambekan
sma2,sama-sama
toloollll,tolol
bodhooo,bodoh
peliharaaaa,pelihara
makanyaa,makanya
"ati""",hati-hati
kemakan,termakan
bodhoo,bodoh
siihhh,sih
andaaa,anda
buktinyaaa,buktinya
smuaaa,semua
ngambeknya,mengambeknya
tpi,tapi
tapii,tapi
kasiian,kasihan
comen,komen
ngtif,negatif
comntr,komentar
kaliannn,kalian
brdiri,berdiri
tpii,tapi
trasa,terasa
trbaik,terbaik
trbukti,terbukti
trima,terimakasih
trims,terima kasih
mulutny,mulutnya
trjd,terjadi
trserh,terserah
trlalu,terlalu
trlihat,terlihat
waduuuuh,waduh
trll,terlalu
trmasuk,termasuk
trnyata,ternyata
trs,terus
dihpus,dihapus
mrekaa,mereka
cakeeeeppp,cakep
benerr,benar
"brg""",bareng-bareng
baanget,banget
anjaaaayyyyyy,anjay
ngetsz,banget
utkmu,untukmu
trserah,terserah
trun,turun
merekaa,mereka
trus,terus
dieee,dia
yaahh,ya
ternodain,ternodai
kt2,kata-kata
trutama,terutama
tsb,tersebut
jilbabny,jilbabnya
perilakuny,perilakunya
ttap,tetap
ketaatanny,ketaatannya
kepda,kepada
sblmny,sebelumnya
tteh,teteh
pedulilaaaah,pedulilah
ingetin,mengingatkan
terjrumus,terjerumus
ttep,tetap
ttg,tentang
ttp,tetap
igtlah,ingatlah
dtgkan,datangkan
tu,itu
benahin,membenahi
ohhhh,oh
tuch,tuh
yapp,ya
tuhh,tuh
jauhh,jauh
buka2an,buka-bukaan
tuk,untuk
tunggu2,tunggu-tunggu
tunjukan,tunjukkan
tunjukin,tunjukkan
ngembali,kembali
tuu,itu
tuuu,itu
tw,tahu
u,kamu
ubur2,ubur-ubur
ucul,lucu
ud,sudah
kacauuuu,kacau
owh,oh
uda,sudah
ngerampas,merampas
ngehancurin,menghancurkan
ngungkit2,mengungkit-ungkit
kaleee,kali
udah,sudah
caranga,caranya
usa,usah
dipikirin,dipikirkan
nunduk,menunduk
tembemmm,tembem
lucuuuuuuuuuu,lucu
bundaaa,bunda
nyubitt,mencubit
jls2,jelas-jelas
supeer,super
inni,ini
appa,apa
hayooo,hayo
adyem,adem
mitnah,memfitnah
cantiknyaaaaa,cantiknya
tmbm,tembam
cantix,cantik
kriput,keriput
jelex,jelek
"laku""",laku-laku
"orang""nya",orang-orangnya
mancing2,memancing-mancing
eeeeh,eh
kpancing,terpancing
lakuin,melakukan
mikirinnn,memikirkan
udahh,sudah
udahlah,sudahlah
"diam""",diam-diam
udeh,sudah
udh,sudah
nyindirin,menyindir
nee,ini
klakuan,kelakuan
mksdx,maksudnya
shabat,sahabat
brbuat,berbuat
nm,nama
sbhabat,sahabat
pnjerumus,penjerumus
shbat,sahabat
melakukn,melakukan
berkluarga,berkeluarga
ketipu,tertipu
"laki""",laki-laki
mengait2kan,mengait-ngaitkan
nyir2,nyinyir
gosipin,menggosipkan
sendri,sendiri
bntar,bentar
uga,tidak
ugha,juga
duuuhhh,duh
uhhh,uh
nmbk,menembak
ujg,ujung
gakkk,enggak
univ,universitas
untk,untuk
unyuu,unyu
abiiiiisssss,habis
urusin,mengurusi
tikung2,tikung-tikung
usahh,usah
ush,usah
bangedd,banget
wuastagah,astaga
bedaaa,beda
jaoooh,jauh
mateeeeeeeeeeee,mati
parsis,persis
utk,untuk
cantiqs,cantik
kecik,kecil
brasa,berasa
srpti,seperti
dinamakn,dinamakan
w,saya
sgtu,sebegitu
paati,pasti
waah,wah
kutuu,kutu
setelur2nya,setelur-telurnya
wadaaw,waduh
wahh,wah
warkop,warung kopi
waww,wow
widihh,waduh
khadiran,kehadiran
wihh,wih
srta,serta
wihhh,wih
kberkahn,keberkahan
kbahagiaan,kebahagiaan
tntram,tentram
brsama,bersama
wjh,wajah
hngga,hingga
wk,tertawa
brpndapat,berpendapat
wkt,waktu
hiraukn,hiraukan
diamkn,diamkan
hrsny,harusny
brsyukur,bersyukur
wktu,waktu
mmberikn,memberikan
rasakn,rasakan
cari2,cari-cari
kesalahanny,kesalahannya
kekuranganny,kekurangannya
seandainy,seandainya
wktunya,waktunya
wlaupun,walaupun
perasaanny,perasaannya
wooowww,wow
woow,wow
woww,wow
wowww,wow
diindonesis,diindonesia
liyatnya,lihatnya
kayahhh,kaya
wowwww,wow
wrn,warna
x,sangat
y,ya
yook,yuk
yoookkkk,yuk
siihh,sih
elus2,elus-elus
asliiiii,asli
aduuhhhh,aduh
padahl,padahal
yaa,ya
kejahatn,kejahatan
slam,salam
ngelewati,melewati
ngerendahin,merendahkan
apaalahh,apalah
menyebut2,menyebut-nyebut
kiya,kita
miriiiiip,mirip
dirimuuu,dirimu
yaaa,ya
yoiiu,yoi
semuanyaaaa,semuanya
suka.a,sukanya
jdii,jadi
brangnya,barangnya
ada2,ada-ada
nimpuk,menimpuk
abiss,habis
yaaaa,ya
coyyy,coy
suaranyaa,suaranya
yaah,ya
yaak,ya
yach,ya
yah,ya
jnagn,jangan
kcwa,kecewa
jaman2,jaman-jaman
dket2in,dekat-dekati
cobak,coba
britanya,beritanya
tau2,tau-tau
mahh,mah
jamam,jaman
paraa,para
seharusny,seharusnya
dasaar,dasar
bergunaa,berguna
mulutnyaaa,mulutnya
kcewa,kecewa
mnusuk,menusuk
blkang,belakang
yahh,ya
yahhh,ya
yak,iya
trmanis,termanis
krng,kurang
kaciiaann,kasihan
yakk,ya
yank,sayang
yaoloh,Ya Allah
ngejilat,menjilat
yap,iya
yaudh,ya sudah
yawloh,Ya Allah
yeee,ya
yeeee,ya
yg,yang
deketin,dekati
tayik,tahi
halooo,halo
ustzah,ustazah
halow,halo
